List of Inventory. 
Aisle code: 010191, Prod Code: 1, Brand Code: 91, Name: Luisiana, Stock Amount: 14, Is Basic product: 1
Aisle code: 148309, Prod Code: 83, Brand Code: 9, Name: Garden, Stock Amount: 23, Is Basic product: 0
Aisle code: 148408, Prod Code: 84, Brand Code: 8, Name: Garden, Stock Amount: 52, Is Basic product: 0
Aisle code: 150488, Prod Code: 4, Brand Code: 88, Name: Kerns, Stock Amount: 3, Is Basic product: 1
Aisle code: 158507, Prod Code: 85, Brand Code: 7, Name: Car, Stock Amount: 15, Is Basic product: 0
Aisle code: 158606, Prod Code: 86, Brand Code: 6, Name: Car, Stock Amount: 27, Is Basic product: 0
Aisle code: 158705, Prod Code: 87, Brand Code: 5, Name: LimpiaCar, Stock Amount: 51, Is Basic product: 0
Aisle code: 168804, Prod Code: 88, Brand Code: 4, Name: Wild, Stock Amount: 18, Is Basic product: 0
Aisle code: 168903, Prod Code: 89, Brand Code: 3, Name: Wild, Stock Amount: 0, Is Basic product: 0
Aisle code: 169002, Prod Code: 90, Brand Code: 2, Name: Wild, Stock Amount: 60, Is Basic product: 0
Aisle code: 169101, Prod Code: 91, Brand Code: 1, Name: Wild, Stock Amount: 40, Is Basic product: 0
Aisle code: 200290, Prod Code: 2, Brand Code: 90, Name: Blanquita, Stock Amount: 2, Is Basic product: 1
Aisle code: 224349, Prod Code: 43, Brand Code: 49, Name: Bendicion, Stock Amount: 10, Is Basic product: 1
Aisle code: 224448, Prod Code: 44, Brand Code: 48, Name: Bendicion, Stock Amount: 10, Is Basic product: 1
Aisle code: 224547, Prod Code: 45, Brand Code: 47, Name: Bendicion, Stock Amount: 20, Is Basic product: 1
Aisle code: 301874, Prod Code: 18, Brand Code: 74, Name: MainStays, Stock Amount: 35, Is Basic product: 1
Aisle code: 301973, Prod Code: 19, Brand Code: 73, Name: MainStays, Stock Amount: 44, Is Basic product: 1
Aisle code: 302072, Prod Code: 20, Brand Code: 72, Name: MainStays, Stock Amount: 6, Is Basic product: 0
Aisle code: 302171, Prod Code: 21, Brand Code: 71, Name: MainStays, Stock Amount: 5, Is Basic product: 0
Aisle code: 302270, Prod Code: 22, Brand Code: 70, Name: MainStays, Stock Amount: 10, Is Basic product: 1
Aisle code: 302369, Prod Code: 23, Brand Code: 69, Name: MainStays, Stock Amount: 25, Is Basic product: 0
Aisle code: 334646, Prod Code: 46, Brand Code: 46, Name: Bayer, Stock Amount: 40, Is Basic product: 1
Aisle code: 334745, Prod Code: 47, Brand Code: 45, Name: Novartis, Stock Amount: 50, Is Basic product: 1
Aisle code: 334844, Prod Code: 48, Brand Code: 44, Name: Pfizer, Stock Amount: 20, Is Basic product: 1
Aisle code: 334943, Prod Code: 49, Brand Code: 43, Name: Stein, Stock Amount: 30, Is Basic product: 1
Aisle code: 335042, Prod Code: 50, Brand Code: 42, Name: CCSS, Stock Amount: 50, Is Basic product: 1
Aisle code: 400587, Prod Code: 5, Brand Code: 87, Name: CintaAzul, Stock Amount: 4, Is Basic product: 1
Aisle code: 445141, Prod Code: 51, Brand Code: 41, Name: TooFace, Stock Amount: 25, Is Basic product: 1
Aisle code: 445240, Prod Code: 52, Brand Code: 40, Name: TooFace, Stock Amount: 0, Is Basic product: 0
Aisle code: 445339, Prod Code: 53, Brand Code: 39, Name: TooFace, Stock Amount: 130, Is Basic product: 1
Aisle code: 502468, Prod Code: 24, Brand Code: 68, Name: Gallito, Stock Amount: 75, Is Basic product: 0
Aisle code: 502567, Prod Code: 25, Brand Code: 67, Name: Gallito, Stock Amount: 300, Is Basic product: 0
Aisle code: 502666, Prod Code: 26, Brand Code: 66, Name: Gallito, Stock Amount: 175, Is Basic product: 0
Aisle code: 502765, Prod Code: 27, Brand Code: 65, Name: Gallito, Stock Amount: 225, Is Basic product: 0
Aisle code: 502864, Prod Code: 28, Brand Code: 64, Name: Gallito, Stock Amount: 57, Is Basic product: 0
Aisle code: 555438, Prod Code: 54, Brand Code: 38, Name: DosPinos, Stock Amount: 7, Is Basic product: 0
Aisle code: 555537, Prod Code: 55, Brand Code: 37, Name: DosPinos, Stock Amount: 50, Is Basic product: 1
Aisle code: 555636, Prod Code: 56, Brand Code: 36, Name: DosPinos, Stock Amount: 0, Is Basic product: 0
Aisle code: 555735, Prod Code: 57, Brand Code: 35, Name: DosPinos, Stock Amount: 1, Is Basic product: 1
Aisle code: 555834, Prod Code: 58, Brand Code: 34, Name: DosPinos, Stock Amount: 57, Is Basic product: 0
Aisle code: 665933, Prod Code: 59, Brand Code: 33, Name: Kimby, Stock Amount: 45, Is Basic product: 1
Aisle code: 666032, Prod Code: 60, Brand Code: 32, Name: Frosty, Stock Amount: 12, Is Basic product: 1
Aisle code: 666131, Prod Code: 61, Brand Code: 31, Name: Frosty, Stock Amount: 9, Is Basic product: 1
Aisle code: 666230, Prod Code: 62, Brand Code: 30, Name: Kimby, Stock Amount: 1, Is Basic product: 1
Aisle code: 776329, Prod Code: 63, Brand Code: 29, Name: Kellogs, Stock Amount: 10, Is Basic product: 0
Aisle code: 776428, Prod Code: 64, Brand Code: 28, Name: Quaker, Stock Amount: 55, Is Basic product: 0
Aisle code: 776527, Prod Code: 65, Brand Code: 27, Name: Jummy, Stock Amount: 30, Is Basic product: 0
Aisle code: 886626, Prod Code: 66, Brand Code: 26, Name: Forever21, Stock Amount: 45, Is Basic product: 0
Aisle code: 886725, Prod Code: 67, Brand Code: 25, Name: QuickSilver, Stock Amount: 16, Is Basic product: 0
Aisle code: 996824, Prod Code: 68, Brand Code: 24, Name: ITCR, Stock Amount: 15, Is Basic product: 1
Aisle code: 996923, Prod Code: 69, Brand Code: 23, Name: ITCR, Stock Amount: 0, Is Basic product: 1
Aisle code: 997022, Prod Code: 70, Brand Code: 22, Name: ITCR, Stock Amount: 75, Is Basic product: 1
Aisle code: 997121, Prod Code: 71, Brand Code: 21, Name: ITCR, Stock Amount: 0, Is Basic product: 1
Aisle code: 997220, Prod Code: 72, Brand Code: 20, Name: ITCR, Stock Amount: 79, Is Basic product: 1
Aisle code: 997319, Prod Code: 73, Brand Code: 19, Name: ITCR, Stock Amount: 36, Is Basic product: 1
